Ticket,NF,Data Ocorrência,Ocorrência,Parceiro, Valor , Produto , Emissão ,Quantidade,Categoria Produto,UF,SKU
#47205,42249,22/07/2025,Avaria,Rio Vermelho," R$  510,25 ",PAINEL SOLAR FOTOVOLTAICO SUNOVA SS-610-66MDH-G11(T) TOPCON (610WP),2025-07-04,1,Painel 610 Wp,MG,24290
#46982,42128,11/07/2025,Avaria,Movvi," R$  1.581,36 ",PAINEL SOLAR FOTOVOLTAICO SUNOVA SS-610-66MDH-G11(T) TOPCON (610WP),2025-07-03,3,Painel 610 Wp,SP,24290
#47442,41844,24/07/2025,Avaria,Tecmar," R$  1.177,40 ",PAINEL SOLAR FOTOVOLTAICO ZNSHINE ZXMR-UHLD132 -565/N MONO (565WP),2025-06-30,2,Painel 565 Wp,PE,24968
#47391,41904,31/07/2025,Extravio,Evidência," R$  1.094,43 ",INVERSOR SENOIDAL ZTROON ZT2000-11 12VCC / 127VCA,2025-06-30,1,Inversor 2000W,AP,22022
#47184,41833,21/07/2025,Extravio,Tecmar," R$  227,93 ", KIT ESTRUTURA TELHADO FIBROMADEIRA P/4PAINEIS SOLAR SYSTEM,2025-06-30,1,KIT estrutura,SC,
#47363,41915,28/07/2025,Extravio,Rio Vermelho," R$  1.254,33 ",BOMBA SOLAR ZTROON 3POL - 3ZTS1.2-77-24-210 (ATÉ 77M),2025-06-30,1,Bomba Solar,RO,20858
#47282,41895,24/07/2025,Avaria,Tecmar," R$  460,16 ",PAINEL SOLAR FOTOVOLTAICO ZNSHINE ZXMR-UHLD132 -565/N MONO (565WP),2025-06-30,1,Painel 565 Wp,BA,24968
#47171,41819,21/07/2025,Avaria,Tecmar," R$  343,35 ",PAINEL SOLAR FOTOVOLTAICO ZNSHINE ZXMR-UHLD132 -565/N MONO (565WP),2025-06-30,1,Painel 565 Wp,SP,24968
#46855,41816,04/07/2025,Avaria,Braspress," R$  197,12 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP160M (160WP),2025-06-30,1,Painel 160 Wp,MG,22001
#47027,41593,09/07/2025,Avaria,Movvi," R$  2.431,60 ",PAINEL SOLAR FOTOVOLTAICO ZNSHINE ZXMR-UHLD132 -565/N MONO (565WP),2025-06-26,4,Painel 565 Wp,MG,24968
#46877,41591,07/07/2025,Avaria,Movvi," R$  447,92 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-410M (410WP),2025-06-26,1,Painel 410 Wp,SC,23170
#47362,41630,30/07/2025,Extravio,Evidência," R$  3.155,04 ",BATERIA DE LÍTIO EPEVER 25.6V 100AH (LFP2.56KWH25.6V-P20L1),2025-06-26,1,Bateria 100 Ah,AC,24970
#47254,41386,23/07/2025,Avaria,Braspress," R$  381,92 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-160MI (160WP),2025-06-24,2,Painel 160 Wp,MG,24465
#46999,41376,11/07/2025,Avaria,Gran Cargo," R$  1.080,80 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-06-24,2,Painel 340 Wp,GO,23169
#47210,41350,22/07/2025,Avaria,Movvi," R$  3.381,74 ",BOMBA SOLAR ZTROON 4POL - 4ZTSC4.8-203-200-1500- A/D (ATÉ 203M),2025-06-23,1,Bomba Solar,MG,21295
#46993,41183,11/07/2025,Avaria,Rio Vermelho," R$  469,72 ",PAINEL SOLAR FOTOVOLTAICO ZNSHINE ZXMR-UHLD132 -565/N MONO (565WP),2025-06-18,1,Painel 565 Wp,MG,24968
#47096,41008,16/07/2025,Extravio,Movvi," R$  1.080,80 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-06-17,2,Painel 340 Wp,SP,23169
#46692,41024,27/06/2025,Avaria,Gran Cargo," R$  461,12 ",PAINEL SOLAR FOTOVOLTAICO ZNSHINE ZXMR-UHLD132 -565/N MONO (565WP),2025-06-17,1,Painel 565 Wp,RO,24968
#47367,40838,28/07/2025,Avaria,Braspress," R$  464,84 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-160MI (160WP),2025-06-13,2,Painel 160 Wp,PE,24465
#46983,40842,11/07/2025,Avaria,Rio Vermelho," R$  407,87 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-06-13,1,Painel 340 Wp,MT,23169
#46770,40736,01/07/2025,Avaria,Tecmar," R$  489,00 ",PAINEL SOLAR FOTOVOLTAICO ZNSHINE ZXMR-UHLD132 -565/N MONO (565WP),2025-06-12,1,Painel 565 Wp,PE,24968
#46706,40746,27/06/2025,Avaria,CT Botelho," R$  4.875,20 ",BATERIA ESTACIONÁRIA MOURA SOLAR 12MS234 (220AH),2025-06-12,4,Bateria 220 Ah,PR,20027
#45893,40802,11/07/2025,Avaria,Tecmar," R$  463,88 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-160M (160WP),2025-06-12,2,Painel 160 Wp,SC,
#46763,40607,01/07/2025,Avaria,Tecmar," R$  1.261,52 ",PAINEL SOLAR FOTOVOLTAICO SUNOVA SS-610-66MDH-G11(T) TOPCON (610WP),2025-06-10,2,Painel 610 Wp,BA,24290
#46545,40538,16/06/2025,Avaria,Braspress," R$  206,10 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-160MI (160WP),2025-06-10,1,Painel 160 Wp,MG,24465
#46626,40408,23/06/2025,Avaria,Tecmar," R$  544,00 ",PAINEL SOLAR FOTOVOLTAICO ZNSHINE ZXMR-UHLD132 -565/N MONO (565WP),2025-06-06,1,Painel 565 Wp,SC,24968
#46595,40391,18/06/2025,Avaria,Movvi," R$  232,42 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-160MI (160WP),2025-06-06,1,Painel 160 Wp,SP,24465
#46490,40289,11/06/2025,Avaria,Braspress," R$  404,10 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-06-04,1,Painel 340 Wp,SP,23169
#46707,39921,27/06/2025,Avaria,Tecmar," R$  566,37 ",PAINEL SOLAR FOTOVOLTAICO SUNOVA SS-610-66MDH-G11(T) TOPCON (610WP),2025-05-29,1,Painel 610 Wp,SC,24290
#46458,39671,11/06/2025,Extravio,Tecmar," R$  1.956,00 ",PAINEL SOLAR FOTOVOLTAICO LONGI LR5-54HTH-435M BACK CONTACT (435WP),2025-05-26,4,Painel 435 Wp,SC,23887
#46464,39550,11/06/2025,Avaria,Rio Vermelho," R$  396,34 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-05-23,1,Painel 340 Wp,MG,23169
#46717,39453,30/06/2025,Avaria,Gran Cargo," R$  160,65 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-060M (60WP),2025-05-21,1,Painel 60 Wp,PA,22905
#46231,39149,29/05/2025,Avaria,Alfa," R$  2.754,35 ",BOMBA SOLAR ZTROON 4POL - 4ZTSC4.8-203-200-1500- A/D (ATÉ 203M),2025-05-16,1,Bomba Solar,MG,21295
#46103,39167,21/05/2025,Extravio,TransWells," R$  219,99 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP160M (160WP),2025-05-16,1,Painel 160 Wp,SP,22001
#46209,39033,27/05/2025,Extravio,GOLLOG," R$  22,33 ",CARREGADOR SOLAR PORTÁTIL NEOSOLAR (5W / 5V / 1A),2025-05-15,1,Carregador Solar,,20104
#46166,38970,26/05/2025,Extravio,Gran Cargo," R$  240,00 ", KIT ESTRUTURA TELHADO FIBROMADEIRA P/4PAINEIS SOLAR SYSTEM,2025-05-14,1,KIT estrutura,MG,
#46502,39084,13/06/2025,Avaria,Tecmar," R$  3.299,00 ",BATERIA DE LÍTIO ZTROON ZTS48100S (100AH),2025-05-13,1,Bateria 100 Ah,RS,24732
#46258,38912,03/06/2025,Extravio,Gran Cargo," R$  1.168,00 ",PAINEL SOLAR FOTOVOLTAICO SUNOVA SS-610-66MDH-G11(T) TOPCON (610WP),2025-05-13,2,Painel 610 Wp,GO,24290
#46505,38555,13/06/2025,Avaria,Tecmar," R$  2.023,18 ",BOMBA SOLAR ZTROON 3POL - 3ZTPC5.2-75-96-750 (ATÉ 75M),2025-05-07,1,Bomba Solar,RN,20862
#46153,38510,26/05/2025,Extravio,Evidência," R$  22.141,32 ",BATERIA DE LÍTIO ZTROON ZTS48100S (100AH),2025-05-07,6,Bateria Litio (100Ah),PA,24732
#46110,38276,22/05/2025,Extravio,Tecmar," R$  10,12 ",CONECTOR MC4 - PROAUTO (PAR) - REV,2025-05-05,1,Conector MC4,BA,20121
#46109,38276,21/05/2025,Extravio,Tecmar," R$  35,25 ",CABO FOTOVOLTÁICO LAFEBER 6MM² PRETO,2025-05-05,5,Cabo,BA,20020
#46090,38217,20/05/2025,Avaria,Alfa," R$  1.072,68 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-04-30,3,Painel 340 Wp,MG,23169
#46090,38217,20/05/2025,Avaria,Alfa," R$  1.072,68 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-04-30,3,Painel 340 Wp,MG,23169
#46003,37944,14/05/2025,Extravio,Evidência," R$  1.799,00 ",INVERSOR SENOIDAL ZTROON ZT2000-21 24VCC / 127VCA,2025-04-28,1,Inversor 2000W,PA,22024
#46284,37936,04/06/2025,Extravio,Rapido Fig," R$  10,15 ",CONECTOR MC4 - PROAUTO (PAR) - REV,2025-04-28,1,Conector MC4,MA,20121
#46284,37936,04/06/2025,Extravio,Rapido Fig," R$  35,35 ",CABO FOTOVOLTÁICO LAFEBER 6MM² PRETO,2025-04-28,5,Cabo,MA,20020
#46284,37936,04/06/2025,Extravio,Rapido Fig," R$  1.003,72 ",PAINEL SOLAR FOTOVOLTAICO LONGI LR5-28HTH-225M BACK CONTACT (225WP),2025-04-28,4,Painel 225 Wp,MA,24095
#46091,37900,20/05/2025,Avaria,Evidência," R$  409,54 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-04-25,1,Painel 340 Wp,PA,23169
#45715,37800,16/05/2025,Avaria,Alfa," R$  818,00 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-310MI (310WP),2025-04-24,2,Painel 310 Wp,RJ,24464
#46032,37747,16/05/2025,Avaria,TransWells," R$  2.356,00 ",PAINEL SOLAR FOTOVOLTAICO SUNOVA SS-610-66MDH-G11(T) TOPCON (610WP),2025-04-23,4,Painel 610 Wp,RJ,24290
#45683,37680,28/04/2025,Avaria,TransWells," R$  231,55 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP160M (160WP),2025-04-23,1,Painel 160 Wp,SP,22001
#45700,37485,16/05/2025,Extravio,Tecmar," R$  120,00 ",PERFIL REFORCADO 240CM PARA 1 PAINEL SOLAR SYSTEM,2025-04-17,2,Estrutura,SC,22956
#46069,37402,19/05/2025,Extravio,Tecmar," R$  140,90 ",Conector MC4 - Proauto (par)- Rev.,2025-04-16,24,Conector MC4,RS,10051
#46069,37402,19/05/2025,Extravio,Tecmar," R$  43,56 ",Cabo Fotovoltáico Lafeber 4mm² Preto 1.8KV DC ind.,2025-04-16,15,Cabo,RS,10001
#46069,37402,19/05/2025,Extravio,Tecmar," R$  307,86 ", KIT ESTRUTURA TELHADO FIBROMADEIRA P/4PAINEIS SOLAR SYSTEM,2025-04-16,3,KIT estrutura,RS,
#46069,37402,19/05/2025,Extravio,Tecmar," R$  1.997,25 ",MICROINVERSOR DEYE SUN-M225G4-EU-Q0 - 2250W / 220V / WIFI / MC4,2025-04-16,3,Microinversor 2250W,RS,22916
#45718,37372,30/04/2025,Avaria,Movvi," R$  1.199,80 ",PAINEL SOLAR FOTOVOLTAICO SUNOVA SS-610-66MDH-G11(T) TOPCON (610WP),2025-04-16,2,Painel 610 Wp,SP,24290
#45957,37233,13/05/2025,Avaria,Alfa," R$  1.121,73 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-04-15,3,Painel 340 Wp,MG,23169
#46009,37269,14/05/2025,Avaria,Rio Vermelho," R$  306,26 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-04-15,1,Painel 340 Wp,MG,23169
#47118,37115,17/07/2025,Avaria,Gran Cargo," R$  369,00 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-160M (160WP),2025-04-14,1,Painel 160 Wp,AM,
#45643,37051,06/05/2025,Extravio,Tecmar," R$  481,74 ", KIT ESTRUTURA TELHADO FIBROMADEIRA P/4PAINEIS SOLAR SYSTEM,2025-04-11,2,KIT estrutura,RS,
#46006,37040,14/05/2025,Avaria,Tecmar," R$  599,90 ",PAINEL SOLAR FOTOVOLTAICO SUNOVA SS-610-66MDH-G11(T) TOPCON (610WP),2025-04-10,1,Painel 610 Wp,SC,24290
#45950,36775,25/04/2025,Avaria,Tecmar," R$  380,35 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-04-08,1,Painel 340 Wp,PE,23169
#46699,36703,27/06/2025,Avaria,Tecmar," R$  538,47 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-04-07,1,Painel 620 Wp,CE,24263
#45761,36691,05/05/2025,Avaria,Tecmar," R$  500,90 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-04-07,1,Painel 620 Wp,BA,24263
#45618,36714,24/04/2025,Avaria,Gran Cargo," R$  1.112,20 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-04-07,2,Painel 620 Wp,MG,24263
#45606,36665,23/04/2025,Avaria,Tecmar," R$  556,10 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-04-07,1,Painel 620 Wp,BA,24263
#45331,36650,17/04/2025,Extravio,Gran Cargo," R$  1.319,42 ",Bomba Solar Ztroon 3Pol - 3Zts2.0-150-48-750 (Até 150M),2025-04-07,1,Bomba Solar,RO,
#45500,36649,16/04/2025,Avaria,Gran Cargo," R$  566,10 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-04-07,1,Painel 620 Wp,MT,24263
#45622,36589,24/04/2025,Extravio,Movvi," R$  537,88 ",PAINEL SOLAR FOTOVOLTAICO LEAPTON  LP182*199-M-66-NH (585WP) BR,2025-04-04,1,Painel 585 Wp,MG,24511
#45622,36589,24/04/2025,Extravio,Movvi," R$  2.262,69 ",CONTROLADOR DE CARGA MPPT EPEVER 20A 12/24V XTRA2210N,2025-04-04,5,Controlador 20A,MG,23052
#45622,36589,24/04/2025,Extravio,Movvi," R$  499,44 ",CONTROLADOR DE CARGA MPPT EPEVER 30A 12/24V XTRA3210N,2025-04-04,1,Controlador 30A,MG,23053
#45622,36589,24/04/2025,Extravio,Movvi," R$  426,65 ",PAINEL SOLAR FOTOVOLTAICO LONGI LR5-54HTH-435M BACK CONTACT (435WP),2025-04-04,1,Painel 435 Wp,MG,23887
#45622,36589,24/04/2025,Extravio,Movvi," R$  966,41 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-260M (260WP),2025-04-04,3,Painel 260 Wp,MG,23168
#45739,36622,30/04/2025,Avaria,Gran Cargo," R$  500,90 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-04-04,1,Painel 620 Wp,GO,24263
#46217,36635,28/05/2025,Avaria,Movvi," R$  170,79 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-060M (60WP),2025-04-04,1,Painel 60 Wp,MG,22905
#45631,36421,05/05/2025,Avaria,Tecmar," R$  298,49 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-04-03,1,Painel 620 Wp,,24263
#45641,36520,25/04/2025,Avaria,Movvi," R$  1.112,20 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-04-03,2,Painel 620 Wp,ES,24263
#45575,36540,24/04/2025,Avaria,Tecmar," R$  566,10 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-04-03,1,Painel 620 Wp,BA,24263
#45985,36396,14/05/2025,Avaria,Gran Cargo," R$  1.195,10 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-04-01,2,Painel 620 Wp,MT,24263
#45539,36366,17/04/2025,Avaria,Tecmar," R$  584,00 ",PAINEL SOLAR FOTOVOLTAICO SUNOVA SS-610-66MDH-G11(T) TOPCON (610WP),2025-03-31,1,Painel 610 Wp,BA,24290
#45537,36270,17/04/2025,Avaria,Tecmar," R$  566,10 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-31,1,Painel 620 Wp,BA,24263
#45525,36390,17/04/2025,Avaria,Tecmar," R$  566,10 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-31,1,Painel 620 Wp,PE,24263
#45272,36204,07/04/2025,Avaria,CT Botelho," R$  1.790,94 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-28,6,Painel 620 Wp,MG,24263
#45361,36229,09/04/2025,Avaria,Tecmar," R$  524,38 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-28,1,Painel 620 Wp,RS,24263
#45302,36206,08/04/2025,Avaria,Movvi," R$  1.048,76 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-28,2,Painel 620 Wp,MG,24263
#45817,36223,06/05/2025,Avaria,Alfa," R$  918,50 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-28,2,Painel 620 Wp,MG,24263
#45447,36195,14/04/2025,Avaria,Tecmar," R$  4.088,00 ",PAINEL SOLAR FOTOVOLTAICO SUNOVA SS-610-66MDH-G11(T) TOPCON (610WP),2025-03-28,7,Painel 620 Wp,SC,24290
#45875,36207,08/05/2025,Avaria,Alfa," R$  500,90 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-28,1,Painel 620 Wp,SP,24263
#45866,36132,07/05/2025,Avaria,CT Botelho," R$  1.195,10 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-27,2,Painel 620 Wp,MG,24263
#45450,36116,15/04/2025,Avaria,Alfa," R$  566,10 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-27,1,Painel 620 Wp,SP,24263
#45393,36132,11/04/2025,Avaria,CT Botelho," R$  566,10 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-27,1,Painel 620 Wp,MG,24263
#45552,36062,22/04/2025,Avaria,Tecmar," R$  556,10 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-26,1,Painel 620 Wp,RS,24263
#45323,36004,09/04/2025,Avaria,Alfa," R$  524,38 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-26,1,Painel 620 Wp,SP,24263
#45144,36053,18/03/2025,Avaria,TransWells," R$  575,67 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-26,1,Painel 620 Wp,SP,24263
#45571,35969,22/04/2025,Avaria,Tecmar," R$  597,20 ",PAINEL SOLAR FOTOVOLTAICO SUNOVA SS-610-66MDH-G11(T) TOPCON (610WP),2025-03-25,1,Painel 610 Wp,BA,24290
#45560,35935,08/04/2025,Extravio,Movvi," R$  379,85 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-03-25,1,Painel 340 Wp,SP,23169
#45608,35990,22/04/2025,Extravio,Tecmar," R$  37,40 ",CABO FOTOVOLTÁICO LAFEBER 6MM² PRETO,2025-03-25,5,Cabo,BA,20020
#44733,116436,19/05/2025,Extravio,Lalamove," R$  200,00 ",BATERIA DE LÍTIO UCB UPLFP48-100 (100AH) 3U  REV,2025-03-24,1,Bateria 100 Ah,,23693
#44733,116435,19/05/2025,Extravio,Lalamove," R$  200,00 ",BATERIA DE LÍTIO UCB UPLFP48-100 (100AH) 3U  REV,2025-03-24,1,Bateria 100 Ah,,23693
#45367,35874,10/04/2025,Avaria,Tecmar," R$  566,10 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-24,1,Painel 620 Wp,RN,24263
#45344,35849,10/04/2025,Avaria,Tecmar," R$  530,10 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-24,1,Painel 620 Wp,RS,24263
#45322,35827,09/04/2025,Avaria,Tecmar," R$  1.151,34 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-24,2,Painel 620 Wp,BA,24263
#45240,35789,03/04/2025,Avaria,Alfa," R$  1.151,34 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-24,2,Painel 620 Wp,SP,24263
#30864,102271,08/05/2023,Avaria,Exata Cargo," R$  651,38 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA330-36-P (330WP),2025-03-23,1,Painel 330 Wp,PA,20298
#45376,35733,11/04/2025,Avaria,TransWells," R$  1.573,14 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-21,3,Painel 620 Wp,RJ,24263
#45301,35712,08/04/2025,Extravio,Tecmar," R$  7,46 ",Conector MC4 - Proauto (par)- Rev.,2025-03-21,1,Conector MC4,BA,10051
#45301,35712,08/04/2025,Extravio,Tecmar," R$  26,00 ",CABO FOTOVOLTÁICO LAFEBER 6MM² PRETO,2025-03-21,5,Cabo,BA,20020
#45392,35687,11/04/2025,Avaria,Tecmar," R$  1.151,34 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-20,2,Painel 620 Wp,SP,24263
#45105,35651,27/03/2025,Avaria,Gran Cargo," R$  1.151,34 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-20,2,Painel 620 Wp,GO,24263
#45701,35652,28/04/2025,Extravio,Gran Cargo," R$  290,00 ",PERFIL REFORCADO 240CM PARA 1 PAINEL SOLAR SYSTEM ,2025-03-20,1,Estrutura,PA,
#45085,35597,27/03/2025,Avaria,Movvi," R$  341,49 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-340M (340WP),2025-03-19,1,Painel 340 Wp,MG,23169
#45171,35544,04/04/2025,Avaria,Movvi," R$  575,67 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-19,1,Painel 620 Wp,SC,24263
#45456,35529,15/04/2025,Avaria,Gran Cargo," R$  566,10 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-18,1,Painel 620 Wp,PA,24263
#45115,35408,27/03/2025,Avaria,Gran Cargo," R$  228,55 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-160M (160WP),2025-03-17,1,Painel 160 Wp,GO,
#45124,35436,26/03/2025,Extravio,Movvi," R$  10,25 ",Conector MC4 - Proauto (par)- Rev.,2025-03-17,1,Conector MC4,SP,10051
#45124,35436,26/03/2025,Extravio,Movvi," R$  35,70 ",CABO FOTOVOLTÁICO LAFEBER 6MM² PRETO,2025-03-17,5,Cabo,SP,20020
#45303,35263,08/04/2025,Avaria,Movvi," R$  575,67 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-13,1,Painel 620 Wp,MG,24263
#45031,35262,01/04/2025,Avaria,Tecmar," R$  1.129,11 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-13,2,Painel 620 Wp,PR,24263
#45368,35208,14/04/2025,Extravio,Tecmar," R$  21,14 ",CONECTOR MC4 - PROAUTO (PAR) - REV,2025-03-12,2,Conector MC4,CE,20121
#45018,35177,24/03/2025,Extravio,Rio Vermelho," R$  625,92 ",BATERIA ESTACIONARIA DE CHUMBO ACIDO UNIPOWER 12V (115AH) UPMF12115,2025-03-12,1,Bateria Estacionária 115 Ah,MT,24169
#45291,35067,08/04/2025,Avaria,Movvi,,PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-11,1,Painel 620 Wp,MG,24263
#45149,35064,31/03/2025,Avaria,Gran Cargo," R$  1.195,10 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-11,2,Painel 620 Wp,MT,24263
#45015,34955,21/03/2025,Avaria,Tecmar," R$  2.264,40 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-10,4,Painel 620 Wp,RN,24263
#44951,34964,17/03/2025,Extravio,Movvi," R$  545,50 ",PAINEL SOLAR FOTOVOLTAICO LONGI LR5-28HTH-225M BACK CONTACT (225WP),2025-03-10,2,Painel 225 Wp,SP,24095
#46657,34898,24/06/2025,Avaria,Movvi," R$  602,00 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-03-07,1,Painel 620 Wp,SP,24263
#46355,34896,06/06/2025,Avaria,Movvi," R$  1.084,56 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA585-36V-MH TOPCON (585WP),2025-03-07,2,Painel 585 Wp,SP,22726
#44927,34569,17/03/2025,Avaria,GOLLOG," R$  380,37 ",PAINEL SOLAR FOTOVOLTAICO ZTROON ZTP-310MI (310WP),2025-02-28,1,Painel 310 Wp,PB,24464
#45123,34514,28/03/2025,Avaria,Tecmar," R$  597,55 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-02-27,1,Painel 620 Wp,PE,24263
#44892,34487,14/03/2025,Avaria,Tecmar," R$  1.195,10 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-02-27,2,Painel 620 Wp,BA,24263
#44853,34311,13/03/2025,Avaria,Tecmar," R$  640,77 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA620-33V-MHDRZ TOPCON BIFACIAL (620WP),2025-02-24,2,Painel 620 Wp,BA,24263
